"Event ID","Report Number","Officer Badge ID","Officer Dispatched DateTime","Officer Cleared DateTime","Street","City","State","Zip Code","Call Type","Clearance Code","Category"
"2400095125","","7854      ","2024-11-10 18:07:38","2024-11-10 18:25:37","800 ARLINGTON ST","ROCKY MOUNT","NC","","DIRECTED PATROL","C   ","DIRECTED PATROL"
"2400095127","","8498      ","2024-11-10 18:12:48","2024-11-10 18:30:28","1434 DENTON ST","ROCKY MOUNT","NC","","911 HANGUP / UNKNOWN","E   ","911 HANGUP / UNKNOWN"
"2400095127","","6351      ","2024-11-10 18:12:48","2024-11-10 18:30:28","1434 DENTON ST","ROCKY MOUNT","NC","","911 HANGUP / UNKNOWN","E   ","911 HANGUP / UNKNOWN"
"2400095128","","7975      ","2024-11-10 18:14:57","2024-11-10 18:18:31","624 COKEY RD/LONG AVE","ROCKY MOUNT","NC","","TRAFFIC STOP","G   ","TRAFFIC STOP"
"2400095129","2024007960","8416      ","2024-11-10 19:19:58","2024-11-10 21:04:05","1100 N WESLEYAN BLVD","ROCKY MOUNT","NC","","LARCENY REPORT","A   ","LARCENY REPORT"
"2400095131","","7854      ","2024-11-10 18:45:20","2024-11-10 18:45:27","204 N FAIRVIEW RD","ROCKY MOUNT","NC","","TRAFFIC STOP","B   ","TRAFFIC STOP"
"2400095131","","7975      ","2024-11-10 18:27:43","2024-11-10 18:46:46","204 N FAIRVIEW RD","ROCKY MOUNT","NC","","TRAFFIC STOP","B   ","TRAFFIC STOP"
"2400095132","","6351      ","2024-11-10 18:39:43","2024-11-10 18:52:07","187 WATER WHEEL RD","ROCKY MOUNT","NC","","ALARM HOLD UP / PANIC / DURESS","Q1  ","ALARM HOLD UP / PANIC / DURESS"
"2400095132","","8498      ","2024-11-10 18:39:43","2024-11-10 18:52:07","187 WATER WHEEL RD","ROCKY MOUNT","NC","","ALARM HOLD UP / PANIC / DURESS","Q1  ","ALARM HOLD UP / PANIC / DURESS"
"2400095132","","8535      ","2024-11-10 18:39:43","2024-11-10 18:52:11","187 WATER WHEEL RD","ROCKY MOUNT","NC","","ALARM HOLD UP / PANIC / DURESS","Q1  ","ALARM HOLD UP / PANIC / DURESS"
"2400095132","","7170      ","2024-11-10 18:39:43","2024-11-10 18:52:11","187 WATER WHEEL RD","ROCKY MOUNT","NC","","ALARM HOLD UP / PANIC / DURESS","Q1  ","ALARM HOLD UP / PANIC / DURESS"
"2400095132","","7799      ","2024-11-10 18:41:17","2024-11-10 18:53:30","187 WATER WHEEL RD","ROCKY MOUNT","NC","","ALARM HOLD UP / PANIC / DURESS","Q1  ","ALARM HOLD UP / PANIC / DURESS"
"2400095133","","7819      ","2024-11-10 18:54:59","2024-11-10 19:09:02","818 GREGG CT","ROCKY MOUNT","NC","","SUSPICIOUS VEHICLE","C   ","SUSPICIOUS VEHICLE"
"2400095133","","8497      ","2024-11-10 18:54:59","2024-11-10 19:09:02","818 GREGG CT","ROCKY MOUNT","NC","","SUSPICIOUS VEHICLE","C   ","SUSPICIOUS VEHICLE"
"2400095136","","7819      ","2024-11-10 19:09:39","2024-11-10 19:30:35","316 SWIFT RD","ROCKY MOUNT","NC","","SUSPICIOUS PERSON","C   ","SUSPICIOUS PERSON"
"2400095136","","8497      ","2024-11-10 19:09:39","2024-11-10 19:30:35","316 SWIFT RD","ROCKY MOUNT","NC","","SUSPICIOUS PERSON","C   ","SUSPICIOUS PERSON"
"2400095137","","7854      ","2024-11-10 19:00:04","2024-11-10 19:19:49","119 ATLANTIC AVE/EASTERN AVE","ROCKY MOUNT","NC","","TRAFFIC STOP","B   ","TRAFFIC STOP"
"2400095137","","7975      ","2024-11-10 18:57:36","2024-11-10 19:20:19","119 ATLANTIC AVE/EASTERN AVE","ROCKY MOUNT","NC","","TRAFFIC STOP","B   ","TRAFFIC STOP"
"2400095138","","8416      ","2024-11-10 19:02:27","2024-11-10 19:18:11","1625 WINTERBERRY DR","ROCKY MOUNT","NC","","SUSPICIOUS VEHICLE","E   ","SUSPICIOUS VEHICLE"
"2400095139","","8272      ","2024-11-10 19:11:34","2024-11-10 19:35:44","511 WESTERN AVE","ROCKY MOUNT","NC","","MENTAL","C   ","MENTAL"
"2400095139","","7491      ","2024-11-10 19:11:45","2024-11-10 19:44:22","511 WESTERN AVE","ROCKY MOUNT","NC","","MENTAL","C   ","MENTAL"
"2400095142","","6502      ","2024-11-10 19:24:43","2024-11-10 19:44:44","2401 SUNSET AVE","ROCKY MOUNT","NC","","ALARM BURGLARY","Q1  ","ALARM BURGLARY"
"2400095142","","7470      ","2024-11-10 19:24:43","2024-11-10 19:44:44","2401 SUNSET AVE","ROCKY MOUNT","NC","","ALARM BURGLARY","Q1  ","ALARM BURGLARY"
"2400095142","","7819      ","2024-11-10 19:32:47","2024-11-10 19:33:55","2401 SUNSET AVE","ROCKY MOUNT","NC","","ALARM BURGLARY","Q1  ","ALARM BURGLARY"
"2400095142","","8497      ","2024-11-10 19:32:47","2024-11-10 19:33:55","2401 SUNSET AVE","ROCKY MOUNT","NC","","ALARM BURGLARY","Q1  ","ALARM BURGLARY"
"2400095144","","7854      ","2024-11-10 19:28:34","2024-11-10 19:39:32","1101 WESTFIELD CT","ROCKY MOUNT","NC","","DISORDERLIES / IN PROGRESS/ JO","H   ","DISORDERLIES / IN PROGRESS/ JO"
"2400095144","","7975      ","2024-11-10 19:28:26","2024-11-10 19:43:48","1101 WESTFIELD CT","ROCKY MOUNT","NC","","DISORDERLIES / IN PROGRESS/ JO","H   ","DISORDERLIES / IN PROGRESS/ JO"
"2400095144","","8090      ","2024-11-10 19:31:06","2024-11-10 19:46:00","1101 WESTFIELD CT","ROCKY MOUNT","NC","","DISORDERLIES / IN PROGRESS/ JO","H   ","DISORDERLIES / IN PROGRESS/ JO"
"2400095144","","8307      ","2024-11-10 19:28:07","2024-11-10 19:37:04","1101 WESTFIELD CT","ROCKY MOUNT","NC","","DISORDERLIES / IN PROGRESS/ JO","H   ","DISORDERLIES / IN PROGRESS/ JO"
"2400095145","","7819      ","2024-11-10 19:34:32","2024-11-10 21:35:23","2508 W RALEIGH BLVD","ROCKY MOUNT","NC","","MENTAL","C   ","MENTAL"
"2400095145","","8272      ","2024-11-10 19:35:52","2024-11-10 21:02:44","2508 W RALEIGH BLVD","ROCKY MOUNT","NC","","MENTAL","C   ","MENTAL"
"2400095145","","8497      ","2024-11-10 19:34:32","2024-11-10 21:35:23","2508 W RALEIGH BLVD","ROCKY MOUNT","NC","","MENTAL","C   ","MENTAL"
"2400095146","","8307      ","2024-11-10 19:41:38","2024-11-10 19:49:33","500-BLK SUTTERS CREEK BLVD","ROCKY MOUNT","NC","","DIRECTED PATROL","C   ","DIRECTED PATROL"
"2400095147","","7854      ","2024-11-10 19:50:11","2024-11-10 19:58:22","101 N WINSTEAD AVE/SUNSET AVE","ROCKY MOUNT","NC","","TRAFFIC STOP","G   ","TRAFFIC STOP"
"2400095148","","8307      ","2024-11-10 19:50:37","2024-11-10 20:12:27","300-BLK AIRPORT RD","ROCKY MOUNT","NC","","DIRECTED PATROL","C   ","DIRECTED PATROL"
"2400095149","2024007961","7975      ","2024-11-10 19:57:59","2024-11-10 20:31:40","100 TIMBERLANE DR/SUNSET AVE","ROCKY MOUNT","NC","","TRAFFIC STOP","B   ","TRAFFIC STOP"
"2400095150","","6242      ","2024-11-10 20:01:23","2024-11-10 20:07:31","1122 E RALEIGH BLVD","ROCKY MOUNT","NC","","TRAFFIC STOP","W   ","TRAFFIC STOP"
"2400095151","","8090      ","2024-11-10 20:05:33","2024-11-10 20:22:21","2732 STEWART LN","ROCKY MOUNT","NC","","911 HANGUP / UNKNOWN","C   ","911 HANGUP / UNKNOWN"
"2400095151","","8130      ","2024-11-10 20:05:33","2024-11-10 20:20:49","2732 STEWART LN","ROCKY MOUNT","NC","","911 HANGUP / UNKNOWN","C   ","911 HANGUP / UNKNOWN"
"2400095153","","6502      ","2024-11-10 20:10:28","2024-11-10 20:25:08","BENVENUE RD/THOMAS A BETTS PKWY","ROCKY MOUNT","NC","","TRAFFIC STOP","W   ","TRAFFIC STOP"
"2400095153","","7470      ","2024-11-10 20:10:28","2024-11-10 20:25:08","BENVENUE RD/THOMAS A BETTS PKWY","ROCKY MOUNT","NC","","TRAFFIC STOP","W   ","TRAFFIC STOP"
"2400095154","","8307      ","2024-11-10 20:35:45","2024-11-10 20:50:21","1103 WESTFIELD CT","ROCKY MOUNT","NC","","SUSPICIOUS VEHICLE","I   ","SUSPICIOUS VEHICLE"
"2400095156","","8307      ","2024-11-10 20:18:23","2024-11-10 20:21:49","3715 N WESLEYAN BLVD","ROCKY MOUNT","NC","","DIRECTED PATROL","C   ","DIRECTED PATROL"
"2400095157","","7491      ","2024-11-10 20:21:06","2024-11-10 20:34:10","1900-BLK VERNON RD","ROCKY MOUNT","NC","","PERSON WITH WEAPON       S224","E   ","PERSON WITH WEAPON       S224"
"2400095157","","6242      ","2024-11-10 20:21:06","2024-11-10 20:33:47","1900-BLK VERNON RD","ROCKY MOUNT","NC","","PERSON WITH WEAPON       S224","E   ","PERSON WITH WEAPON       S224"
"2400095158","","8090      ","2024-11-10 20:23:08","2024-11-10 20:34:42","712 PEACHTREE ST","ROCKY MOUNT","NC","","UNWANTED PARTY / TRESPASSING","C   ","UNWANTED PARTY / TRESPASSING"
"2400095158","","8130      ","2024-11-10 20:21:17","2024-11-10 20:35:38","712 PEACHTREE ST","ROCKY MOUNT","NC","","UNWANTED PARTY / TRESPASSING","C   ","UNWANTED PARTY / TRESPASSING"
"2400095158","","8307      ","2024-11-10 20:21:23","2024-11-10 20:23:03","712 PEACHTREE ST","ROCKY MOUNT","NC","","UNWANTED PARTY / TRESPASSING","C   ","UNWANTED PARTY / TRESPASSING"
"2400095159","","6502      ","2024-11-10 20:25:16","2024-11-10 20:34:26","411 EASTERN AVE","ROCKY MOUNT","NC","","UNWANTED PARTY / TRESPASSING","C   ","UNWANTED PARTY / TRESPASSING"
"2400095159","","7470      ","2024-11-10 20:25:16","2024-11-10 20:34:26","411 EASTERN AVE","ROCKY MOUNT","NC","","UNWANTED PARTY / TRESPASSING","C   ","UNWANTED PARTY / TRESPASSING"
"2400095159","","8307      ","2024-11-10 20:24:40","2024-11-10 20:34:26","411 EASTERN AVE","ROCKY MOUNT","NC","","UNWANTED PARTY / TRESPASSING","C   ","UNWANTED PARTY / TRESPASSING"
"2400095159","","6242      ","2024-11-10 20:34:09","2024-11-10 20:50:16","411 EASTERN AVE","ROCKY MOUNT","NC","","UNWANTED PARTY / TRESPASSING","C   ","UNWANTED PARTY / TRESPASSING"
